Subject,Journal,Publisher,ArticleType,Reason,CitationCount,Title,Abstract,Authors,PublicationDate
,Heart rhythm O2,,Journal Article,Non-Retracted,,Impact of fixation mechanism and helix retraction status on right ventricular lead extraction.,The impact of lead fixation mechanism on extractability is poorly characterized.,"Frazer, Marissa; Phan, Francis; Przybylowicz, Ryle; Krebsbach, Angela; Dornblaser, John; Jessel, Peter M; Bhamidipati, Castigliano; Tibayan, Frederick A; Henrikson, Charles A","{'Year': '2023', 'Month': 'Dec'}"
,Regenerative medicine,,Journal Article,Non-Retracted,,Microfragmented adipose tissue in the treatment of a full-thickness supraspinatus tear: a case report.,"A 70-year-old female presented with an 8-month history of right anterior shoulder pain and weakness, unresolved with conservative management. Among other shoulder pathology, the patient was diagnosed with a full-thickness supraspinatus tear and elected to proceed with the microfragmented adipose tissue procedure to treat the injured tendon and nearby relevant structures. Improvements in pain and function were documented along with progressive healing of the supraspinatus on ultrasound and MRI following the procedure. This case demonstrates the efficacy of microfragmented adipose tissue as a relatively novel approach to treating non-retracted, full-thickness rotator cuff tears.","Ferrell, John L; Dodson, Alanna; Martin, Joshua","{'Year': '2023', 'Month': 'Oct'}"
,Research in veterinary science,,Journal Article,Non-Retracted,,Teratogenic effects of radiofrequency electromagnetic radiation on the embryonic development of chick: A study on morphology and hatchability.,"The present study was aimed at studying the effects of RF-EMR in causing teratogenic changes in the embryonic development of organisms using chick embryo as a model. The fertilized eggs of the hen were incubated in a digital humidified incubator and exposed to RF-EMR from 2G and 4G mobile phones by ringing at regular time intervals. The dose of RF-EMR was varied by increasing the call duration and number of calls per day, with the lower dose being a call duration of 50 min/day and the higher dose being 90 min/day. The phone kept had a range of radiofrequency between 900 and 1800 MHz and SAR (Specific Absorption Rate) 1.355 (2G) and 1.12 (4G) watts/ kg respectively. The batch of eggs incubated without any exposure to RF-EMR was taken as control. The hatchability of 2G and 4G experimental groups were respectively, 65% and 75% at lower radiation exposure and 40% and 55% at higher radiation exposure. The teratogenic effects of RF-EMR on the morphology of chick embryos manifested as the cross beak, non-retracted yolk sac, macrocephaly, malformed legs and toes, disability in standing and balancing the body and variations in body weight, body length and beak length. The results indicate that the RF-EMR poses potential threats to the developing stages of organisms.","Augustianath, Tessy; Evans, D A; Anisha, G S","{'Year': '2023', 'Month': 'Jun'}"
,Regional anesthesia and pain medicine,,Journal Article,Non-Retracted,,Citing retracted literature: a word of caution.,"Inappropriate citation of retracted literature is a common problem in the general medical literature. In 2020, more than 2300 articles were retracted, a dramatic increase from 38 in 2000. By exploring a contemporary series of retractions by one research group, we aimed to evaluate if citations of retracted articles is occurring in the area of regional anesthesiology.","De Cassai, Alessandro; Volpe, Francesco; Geraldini, Federico; Dost, Burhan; Boscolo, Annalisa; Navalesi, Paolo","{'Year': '2023', 'Month': 'Jul'}"
,PloS one,,Journal Article,Non-Retracted,,Self-correction in science: The effect of retraction on the frequency of citations.,"We investigate the citation frequency of retracted scientific papers in science. For the period of five years before and after retraction, we counted the citations to papers in a sample of over 3,000 retracted, and a matched sample of another 3,000 non-retracted papers. Retraction led to a decrease in average annual citation frequency from about 5 before, to 2 citations after retraction. In contrast, for non-retracted control papers the citation counts were 4, and 5, respectively. Put differently, we found only a limited effect of retraction: retraction decreased citation frequency only by about 60%, as compared to non-retracted papers. Thus, retracted papers often live on. For effective self-correction the scientific enterprise needs to be more effective in removing retracted papers from the scientific record. We discuss recent proposals to do so.","Kühberger, Anton; Streit, Daniel; Scherndl, Thomas",{'Year': '2022'}
,Annals of physical and rehabilitation medicine,,Systematic Review,Non-Retracted,,Selection criteria for surgical correction of equinovarus foot in adults with brain damage: A systematic scoping review.,To report on preoperative outcomes that guide the choice of surgical techniques to correct equinovarus foot in adults with brain injury.,"Chan, Barbara; Salib, Marianne; Faggianelli, Florence; Marque, Philippe; Cormier, Camille; Gasq, David","{'Year': '2023', 'Month': 'Mar'}"
,Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,,Journal Article,Non-Retracted,,Interlay Cartilage Rim Augmented Fascia Tympanoplasty: An Effective Graft Model in Mucosal Chronic Otitis Media.,"To study the efficacy of interlay cartilage rim augmented fascia tympanoplasty in mucosal chronic otitis media. A retrospective, observational study was conducted in a tertiary care hospital including charts of patients spanning a duration of one year, where 15 patients diagnosed with chronic otitis media-mucosal disease with large and subtotal perforations (with or without ossicular erosion), and had undergone interlay cartilage rim augmented fascia tympanoplasty, were analysed for morphological and functional improvement following surgery. Pre- and post-operative otomicroscopic examination and pure tone audiometry findings were the parameters considered. 86.6% had a well-healed, non-retracted, undisplaced mobile neotympanum, 6.7% who underwent a type III (minor columella) tympanoplasty had a medialised neotympanum and 1 subject (6.7%) who underwent a type I tympanoplasty had a residual pinpoint perforation which healed with conservative management. The overall morphological success rate was 93.3%. The mean hearing gain following surgery was 20.84 dB with a minimum gain of 10 dB and a maximum gain of 30 dB. The mean air-bone gap closure gain achieved was 19.2 dB with a minimum gain of 6.4 dB and a maximum gain of 30 dB. The interlay cartilage-fascia rim augmentation tympanoplasty is a novel, effective graft model suggested for large and sub-total central perforations. Future randomized studies with a larger sample size could be performed with longer follow-up to assess the outcome of this technique.","Bhandarkar, Ajay M; Krishnan, Neethu V; Mathew, Neethu Mary","{'Year': '2022', 'Month': 'Mar'}"
,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,,Editorial,Non-Retracted,,Editorial Commentary: Monitoring Tendon and Muscle Recovery After Rotator Cuff Repair Using Diagnostic Ultrasound Demonstrates that Early Repair is Beneficial for Many Patients With Reparable Tears.,"Rotator cuff repair is performed to effect healing of the enthesis; to restore shoulder comfort, strength, and function; to prevent tear propagation; and to prevent progression of atrophic muscle changes (fatty degeneration, fatty infiltration, and fatty atrophy) that eventually occur. Non-retracted and moderately retracted rotator cuff tears usually heal after repair, and muscle atrophy may recover over time. It follows that early rotator cuff repair is beneficial for many patients with chronic but reparable rotator cuff tears. Diagnostic ultrasound can provide quantitative information about the recovery of both muscle and tendon and represents a viable alternative to magnetic resonance imaging for evaluating healing after rotator cuff repair.","Hasan, Samer S","{'Year': '2021', 'Month': 'Oct'}"
,Indian journal of orthopaedics,,Case Reports,Non-Retracted,,Latissimus Dorsi Tear in an Olympics-Level Tennis Player: Case Report and Review of Literature.,"Latissimus dorsi tears are extremely rare and are encountered primarily in high-level athletes. Noted initially in baseball pitchers, cases have been described in other sports too, with one report of a latissimus dorsi tear at the muscle-tendon junction in a tennis player. Anecdotal outcomes have been comparative after both non-operative and operative treatments. Although no clear indications for operative intervention exist, there is a general consensus that partial non-retracted tears can be managed with non-operative treatment, whereas complete tears warrant surgical repair. This case report describes a complete rupture with retraction of the latissimus dorsi tendon that occurred during a competitive match in an international level tennis player. Due to compelling sports participation reasons, this tear was managed with non-operative treatment. The player returned to competitive tennis within 6 weeks and won the Asian Games men's doubles tennis gold medal 53 days following his injury. He has had no subsequent shoulder-related symptoms despite his continuous participation in international level tennis for the past 18 months. We analyse the role of the latissimus dorsi in tennis and also review the available literature on this uncommon sports injury.","Pardiwala, Dinshaw N; Subbiah, Kushalappa; Rao, Nandan; Modi, Rahul","{'Year': '2020', 'Month': 'May'}"
,Journal of orthopaedics,,Journal Article,Non-Retracted,,A comparison of full arthroscopic and arthroscopic-assisted mini-open repair methods in rotator cuff tears 1-3 cm in size.,Retrospective evaluation of rotator cuff repair with arthroscopic or arthroscopic-assisted mini-open methods for a diagnosis of non-retracted rotator cuff tear.,"Karaman, O; Karakus, O; Saygi, B","{'Year': '2018', 'Month': 'Sep'}"
,"American journal of orthopedics (Belle Mead, N.J.)",,Journal Article,Non-Retracted,,Magnetic Resonance Imaging Evaluation of the Distal Biceps Tendon.,"Injuries to the distal biceps occur at the tendinous insertion at the radial tuberosity. Distal biceps injuries range from tendinosis to partial tears to non-retracted and retracted complete tears. Acute and chronic complete tears result from a tendinous avulsion at the radial tuberosity. Acute tears result from a strong force exerted on an eccentric biceps contraction, leading to tendon injury.","Fitzpatrick, Darren; Menashe, Leo","{'Year': '2018', 'Month': 'May'}"
