publisher,reference-count,RetractionNature
IEEE,7,Non-Retraction
Elsevier BV,6,Non-Retraction
Japanese Society of Medical Instrumentation,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Institute of Image Information and Television Engineers,0,Non-Retraction
Springer Science and Business Media LLC,5,Non-Retraction
Elsevier BV,46,Non-Retraction
"Vandenhoeck & Ruprecht GmbH & Co, KG",5,Non-Retraction
IEEE,6,Non-Retraction
BMJ Publishing Group Ltd and European League Against Rheumatism,0,Non-Retraction
American Society of Clinical Oncology (ASCO),0,Non-Retraction
Japanese Society for Complementary & Alternative Medicine,19,Non-Retraction
Elsevier BV,15,Non-Retraction
IEEE,0,Non-Retraction
Elsevier BV,1,Non-Retraction
Elsevier BV,0,Non-Retraction
BMJ,0,Non-Retraction
"Scientific Research Publishing, Inc.",3,Non-Retraction
AMPCo,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Informa UK Limited,31,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Cambridge University Press (CUP),7,Non-Retraction
SAGE Publications,0,Non-Retraction
Emerald,0,Non-Retraction
Society of Petroleum Engineers (SPE),0,Non-Retraction
Informa UK Limited,16,Non-Retraction
Springer International Publishing,32,Non-Retraction
IEEE,15,Non-Retraction
Poltava National Technical Yuri Kondratyuk University,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Institute of Electrical Engineers of Japan (IEE Japan),24,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Elsevier BV,0,Non-Retraction
Pesticide Science Society of Japan,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Society of Hematology,0,Non-Retraction
American Society for Horticultural Science,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,75,Non-Retraction
IEEE,19,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
IEEE Comput. Soc,0,Non-Retraction
IEEE,10,Non-Retraction
IEEE,11,Non-Retraction
De Gruyter,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,4,Non-Retraction
Informa UK Limited,9,Non-Retraction
Elsevier BV,10,Non-Retraction
Elsevier BV,25,Non-Retraction
Japan Legal History Association,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,12,Non-Retraction
IPTC,0,Non-Retraction
Sekolah Tinggi Ilmu Ekonomi (STIE) Nobel Indonesia,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,10,Non-Retraction
IEEE,8,Non-Retraction
SAGE Publications,12,Non-Retraction
Revista da Escola Superior de Guerra,0,Non-Retraction
OSA,5,Non-Retraction
Informa UK Limited,29,Non-Retraction
DE GRUYTER,0,Non-Retraction
FKIP Universitas Sultan Ageng Tirtayasa,0,Non-Retraction
Springer Science and Business Media LLC,2,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
The Japan Institute of Marine Engineering,14,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,66,Non-Retraction
SAGE Publications,0,Non-Retraction
Cambridge University Press (CUP),3,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Frontiers Media SA,54,Non-Retraction
