Publisher,CitationCount,RetractionNature
Springer - Nature Publishing Group,5,Retraction
Springer,2,Retraction
Springer,14,Retraction
Springer,0,Retraction
Hindawi,2,Retraction
Hindawi,2,Retraction
Springer,1,Retraction
Hindawi,2,Retraction
Hindawi,3,Retraction
Hindawi,13,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,2,Retraction
Hindawi,5,Retraction
Hindawi,18,Retraction
Hindawi,1,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,2,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,3,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,3,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,26,Retraction
Hindawi,2,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,2,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,3,Retraction
Hindawi,1,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,6,Retraction
Hindawi,4,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Springer,31,Retraction
Springer,31,Retraction
Springer - Nature Publishing Group,39,Retraction
Springer - Biomed Central (BMC),11,Retraction
Springer,4,Retraction
Hindawi,3,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,2,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,1,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
Hindawi,0,Retraction
